from,to
"Aquimarina","Aquimarina sp. AD1"
"Sphingobacterium","Sphingobacterium sp. DR205"
"Capnocytophaga","Capnocytophaga gingivalis"
"Flavobacteriaceae","Algibacter"
"Prevotella","Prevotella ruminicola"
"Prolixibacteraceae","Prolixibacteraceae bacterium WC007"
"Rhodothermaceae","Salinibacter"
"Antarcticibacterium","Antarcticibacterium flavum"
"Elizabethkingia","Elizabethkingia bruuniana"
"Odoribacteraceae","Odoribacter"
"Cytophagales","Cyclobacteriaceae"
"Bacteroidia","Bacteroidales"
"Planobacterium","Chryseobacterium taklimakanense"
"Flavobacteriales","Weeksellaceae"
"Alistipes","Alistipes communis"
"Weeksellaceae","Cloacibacterium"
"Capnocytophaga","Capnocytophaga sp. H4358"
"Draconibacterium","Draconibacterium orientale"
"Cellulophaga","Cellulophaga baltica"
"Galbibacter","Galbibacter sp. BG1"
"Chitinophagaceae","Flavisolibacter"
"Bacteroides","Bacteroides zoogleoformans"
"Flavobacteriaceae","Aequorivita"
"Bacteroidales","Prevotellaceae"
"Thermoflavifilum","Thermoflavifilum sp."
"Flavobacterium","Flavobacterium faecale"
"Adhaeribacter","Adhaeribacter swui"
"Bacteroidetes","Bacteroidetes Order II. Incertae sedis"
"Alkalitalea","Alkalitalea saponilacus"
"Weeksellaceae","Bergeyella"
"Flavobacteriaceae","Psychroserpens"
"Flavobacteriales","Schleiferiaceae"
"Tannerella","Tannerella forsythia"
"Fluviicola","Candidatus Fluviicola riflensis"
"Muricauda","Muricauda ruestringensis"
"Paludibacteraceae","Paludibacter"
"Muribaculaceae","Duncaniella"
"Maribacter","Maribacter sp. MAR_2009_60"
"Flavobacteriaceae","Costertonia"
"Capnocytophaga","Capnocytophaga sp. oral taxon 864"
"Chryseobacterium","Chryseobacterium piperi"
"Flavobacteriaceae","Kordia"
"Lacinutrix","Lacinutrix venerupis"
"Pedobacter","Pedobacter sp. KBS0701"
"Aequorivita","Aequorivita sp. H23M31"
"Elizabethkingia","Elizabethkingia sp. M8"
"Spirosoma","Spirosoma endbachense"
"Butyricimonas","Butyricimonas faecalis"
"Flavobacterium","Flavobacterium sangjuense"
"Prevotella","Prevotella dentalis"
"Barnesiellaceae","Barnesiella"
"Chitinophaga","Chitinophaga agri"
"Flavobacterium","Flavobacterium sp. 140616W15"
"Flavobacteriaceae","Aquimarina"
"Flavobacteriaceae","Psychroflexus"
"Chryseobacterium","Chryseobacterium manosquense"
"Cytophagaceae","Runella"
"Capnocytophaga","Capnocytophaga ochracea"
"Seonamhaeicola","Seonamhaeicola sp. S2-3"
"Kordia","Kordia antarctica"
"Arachidicoccus","Arachidicoccus ginsenosidivorans"
"Spirosoma","Spirosoma radiotolerans"
"Chryseobacterium","Chryseobacterium sp. G0201"
"Hymenobacter","Hymenobacter oligotrophus"
"Rikenellaceae","Alistipes"
"Sphingobacteriaceae","Anseongella"
"Pedobacter","Pedobacter ginsengisoli"
"Aquiflexum","Aquiflexum balticum"
"Flavobacteriaceae","Mesoflavibacter"
"Mucilaginibacter","Mucilaginibacter ginsenosidivorax"
"Chitinophagaceae","Phnomibacter"
"Kaistella","Chryseobacterium haifense"
"Formosa","Formosa sp. Hel1_31_208"
"Mucilaginibacter","Mucilaginibacter xinganensis"
"Cloacibacterium","Cloacibacterium normanense"
"Flavobacteriaceae","Zunongwangia"
"Hymenobacter","Hymenobacter sp. TS19"
"Pedobacter","Pedobacter sp. HDW13"
"Bacteroides","Bacteroides thetaiotaomicron"
"Flavobacterium","Flavobacterium sediminis"
"Wenyingzhuangia","Wenyingzhuangia fucanilytica"
"Bacteroidales","Phocaeicola"
"Bernardetiaceae","Bernardetia"
"Tannerellaceae","Tannerella"
"Dysgonomonadaceae","Proteiniphilum"
"Tenuifilaceae","Tenuifilum"
"Weeksellaceae","Epilithonimonas"
"Sphingobacterium","Sphingobacterium siyangense"
"Hymenobacter","Hymenobacter sp. S2-20-2"
"Hymenobacter","Hymenobacter russus"
"Arcticibacterium","Arcticibacterium luteifluviistationis"
"Sphingobacterium","Sphingobacterium spiritivorum"
"Flavobacteriaceae","Antarcticibacterium"
"Chryseobacterium","Chryseobacterium gleum"
"Bacteroidetes","Bacteroidetes bacterium UKL13-3"
"Blattabacterium","Blattabacterium sp. (Blattella germanica)"
"Myroides","Myroides odoratus"
"Capnocytophaga","Capnocytophaga sp. oral taxon 323"
"Myroides","Myroides sp. ZB35"
"Mucilaginibacter","Mucilaginibacter ginkgonis"
"Cytophagaceae","Arcticibacterium"
"Flavobacteriaceae","Sediminicola"
"Flavobacterium","Flavobacterium branchiophilum"
"Flavobacteriia","Flavobacteriales"
"Tamlana","Tamlana sp. s12"
"Blattabacterium","Blattabacterium sp. (Periplaneta americana)"
"Bacteroidetes","Cytophagia"
"Muricauda","Muricauda sp. 501str8"
"Alistipes","Alistipes dispar"
"Nonlabens","Nonlabens sp. Ci31"
"Bacteroidales","Tannerellaceae"
"Flammeovirgaceae","Flammeovirga"
"Blattabacterium","Blattabacterium sp. (Nauphoeta cinerea)"
"Hymenobacter","Hymenobacter sp. HDW8"
"Prevotella","Prevotella melaninogenica"
"Bacteroidetes","Chitinophagia"
"Flavobacterium","Flavobacterium album"
"Flavobacteriaceae","Croceibacter"
"Flavobacteriaceae","Nonlabens"
"Phnomibacter","Phnomibacter ginsenosidimutans"
"Pedobacter","Pedobacter sp. JBR3-12"
"Sphingobacterium","Sphingobacterium sp. B29"
"Weeksellaceae","Weeksella"
"Bacteroidetes","Flavobacteriia"
"Flavobacteriales","Blattabacteriaceae"
"Marivirga","Marivirga tractuosa"
"Salinivirga","Salinivirga cyanobacteriivorans"
"Capnocytophaga","Capnocytophaga cynodegmi"
"Sphingobacteriaceae","Sphingobacteriaceae bacterium GW460-11-11-14-LB5"
"Dyadobacter","Dyadobacter sp. Q3-56"
"Maribacter","Maribacter sp. MJ134"
"Bacteroides","Bacteroides caccae"
"Amoebophilaceae","Candidatus Amoebophilus"
"Flavobacteriaceae","Oceanihabitans"
"Bacteroides","Bacteroides eggerthii"
"Salegentibacter","Salegentibacter sp. T436"
"Prevotella","Prevotella fusca"
"Weeksellaceae","Kaistella"
"Flammeovirga","Flammeovirga sp. MY04"
"Prolixibacteraceae","Aquipluma"
"Prevotella","Prevotella oris"
"Chryseobacterium","Chryseobacterium balustinum"
"Maribacter","Maribacter cobaltidurans"
"Bacteroides","Bacteroides sp. CBA7301"
"Formosa","Formosa sp. Hel1_33_131"
"Niabella","Niabella soli"
"Polaribacter","Polaribacter sp. MED152"
"Hymenobacter","Hymenobacter jejuensis"
"Flavobacteriaceae","Lacinutrix"
"Chryseobacterium","Chryseobacterium indologenes"
"Mucinivorans","Mucinivorans hirudinis"
"Cytophagia","Cytophagales"
"Sphingobacteriaceae","Pseudopedobacter"
"Bacteroidales","Dysgonomonadaceae"
"Saprospira","Saprospira grandis"
"Flavobacterium","Flavobacterium columnare"
"Nonlabens","Nonlabens sp. MB-3u-79"
"Mucilaginibacter","Mucilaginibacter mallensis"
"Dysgonomonadaceae","Dysgonomonas"
"Filimonas","Filimonas lacunae"
"Bacteroidetes","Sphingobacteriia"
"Riemerella","Riemerella anatipestifer"
"Kaistella","Kaistella jeonii"
"Hymenobacter","Hymenobacter sp. PAMC 26628"
"Flavobacterium","Flavobacterium sp. xlx-214"
"Fulvivirga","Fulvivirga sp. S481"
"Gramella","Gramella sp. MAR_2010_147"
"Sphingobacterium","Sphingobacterium sp. ML3W"
"Flavobacterium","Flavobacterium sp. SLB02"
"Epilithonimonas","Epilithonimonas vandammei"
"Flavobacterium","Flavobacterium arcticum"
"Alistipes","Alistipes sp. dk3624"
"Sphingobacterium","Sphingobacterium multivorum"
"Runella","Runella slithyformis"
"Cyclobacteriaceae","Belliella"
"Cytophagaceae","Cytophaga"
"Emticicia","Emticicia oligotrophica"
"Bacteroidales","Tenuifilaceae"
"Bacteroides","Bacteroides sp. PHL 2737"
"Candidatus Cardinium","Cardinium endosymbiont of Encarsia pergandiella"
"Chryseolinea","Chryseolinea soli"
"Capnocytophaga","Capnocytophaga leadbetteri"
"Flavobacteriaceae","Muriicola"
"Flavobacteriaceae","Salegentibacter"
"Cyclobacteriaceae","Aquiflexum"
"Sphingobacterium","Sphingobacterium sp. dk4302"
"Winogradskyella","Winogradskyella sp. J14-2"
"Flavobacteriaceae","Zobellia"
"Marivirgaceae","Marivirga"
"Flavobacteriaceae","Flavivirga"
"Chryseobacterium","Chryseobacterium sp. SNU WT5"
"Porphyromonas","Porphyromonas asaccharolytica"
"Alistipes","Alistipes shahii"
"Robiginitalea","Robiginitalea biformata"
"Tenacibaculum","Tenacibaculum mesophilum"
"Cyclobacteriaceae","Cyclobacterium"
"Bacteroidales","Rikenellaceae"
"Nonlabens","Nonlabens sp. Hel1_33_55"
"Chitinophaga","Chitinophaga pinensis"
"Weeksellaceae","Cruoricaptor"
"Nibribacter","Nibribacter ruber"
"Polaribacter","Polaribacter sp. G4M1"
"Capnocytophaga","Capnocytophaga sputigena"
"Rufibacter","Rufibacter radiotolerans"
"Chryseobacterium","Chryseobacterium carnipullorum"
"Leadbetterella","Leadbetterella byssophila"
"Hymenobacter","Hymenobacter qilianensis"
"Solitalea","Solitalea canadensis"
"Myroides","Myroides profundi"
"Chryseobacterium","Chryseobacterium gallinarum"
"Flavobacteriaceae","Flavobacteriaceae bacterium"
"Weeksellaceae","Ornithobacterium"
"Salinibacter","Salinibacter ruber"
"Dysgonomonadaceae","Dysgonomonadaceae bacterium zrk40"
"Gramella","Gramella salexigens"
"Bacteria","Bacteroidetes"
"Flavobacteriaceae","Gillisia"
"Flavobacteriaceae","Muricauda"
"Porphyromonas","Porphyromonas crevioricanis"
"Mucilaginibacter","Mucilaginibacter celer"
"Dysgonomonadaceae","Fermentimonas"
"Echinicola","Echinicola sp. LN3S3"
"Hymenobacter","Hymenobacter swuensis"
"Aequorivita","Aequorivita sp. KX20305"
"Empedobacter","Empedobacter falsenii"
"Winogradskyella","Winogradskyella sp. PAMC22761"
"Hymenobacter","Hymenobacter sp. BRD67"
"Flavobacteriaceae","Gilvibacter"
"Barnesiellaceae","Coprobacter"
"Flavobacteriaceae","Urechidicola"
"Antarcticibacterium","Antarcticibacterium arcticum"
"Hymenobacteraceae","Rufibacter"
"Fulvivirgaceae","Fulvivirga"
"Flavobacterium","Flavobacterium nackdongense"
"Rufibacter","Rufibacter sp. DG15C"
"Spirosoma","Spirosoma aureum"
"Croceibacter","Croceibacter atlanticus"
"Niabella","Niabella ginsenosidivorans"
"Marinirhabdus","Marinirhabdus gelatinilytica"
"Hymenobacteraceae","Nibribacter"
"Prolixibacteraceae","Draconibacterium"
"Dokdonia","Dokdonia sp. MED134"
"Chryseobacterium","Chryseobacterium shandongense"
"Duncaniella","Duncaniella sp. B8"
"Cyclobacterium","Cyclobacterium amurskyense"
"Parabacteroides","Parabacteroides distasonis"
"Gramella","Gramella sp. MAR_2010_102"
"Kaistella","Kaistella flava (ex Peng et al. 2021)"
"Tenacibaculum","Tenacibaculum maritimum"
"Capnocytophaga","Capnocytophaga stomatis"
"Blattabacterium","Blattabacterium sp. (Mastotermes darwiniensis)"
"Cytophagales","Roseivirgaceae"
"Flavobacteriaceae","Flagellimonas"
"Pedobacter","Pedobacter roseus"
"Chryseobacterium","Chryseobacterium indoltheticum"
"Nonlabens","Nonlabens dokdonensis"
"Apibacter","Apibacter sp. B2966"
"Flavivirga","Flavivirga eckloniae"
"Dysgonomonadaceae","Petrimonas"
"Rikenellaceae","Mucinivorans"
"Cytophagales","Marivirgaceae"
"Tenuifilum","Tenuifilum thalassicum"
"Bacteroides","Bacteroides cellulosilyticus"
"Duncaniella","Duncaniella sp. C9"
"Cellulophaga","Cellulophaga lytica"
"Spirosoma","Spirosoma pollinicola"
"Pedobacter","Pedobacter steynii"
"Sediminicola","Sediminicola sp. YIK13"
"Flavobacteriaceae","Seonamhaeicola"
"Flavobacteriaceae","Maribacter"
"Bernardetia","Bernardetia litoralis"
"Schleiferiaceae","Croceimicrobium"
"Petrimonas","Petrimonas sp. IBARAKI"
"Cytophagaceae","Fibrella"
"Fibrella","Fibrella aestuarina"
"Mucilaginibacter","Mucilaginibacter sp. 14171R-50"
"Chryseobacterium","Chryseobacterium sp. 6424"
"Olleya","Olleya sp. Bg11-27"
"Proteiniphilum","Proteiniphilum saccharofermentans"
"Spirosoma","Spirosoma sp. KUDC1026"
"Sphingobacteriaceae","Olivibacter"
"Saprospirales","Saprospiraceae"
"Hymenobacter","Hymenobacter sp. APR13"
"Bacteroidales","Paludibacteraceae"
"Coprobacter","Coprobacter sp. 2CBH44"
"Cryomorphaceae","Cryomorphaceae bacterium"
"Olleya","Olleya aquimaris"
"Saprospiria","Saprospirales"
"Runella","Runella sp. HYN0085"
"Mesoflavibacter","Mesoflavibacter sp. HG37"
"Phocaeicola","Phocaeicola dorei"
"Bacteroides","Bacteroides sp. HF-162"
"Flavobacterium","Flavobacterium psychrophilum"
"Flavobacterium","Flavobacterium sp. BB8"
"Zobellia","Zobellia galactanivorans"
"Pontibacter","Pontibacter korlensis"
"Flavobacteriaceae","Arenibacter"
"Bacteroidetes","Bacteroidia"
"Spirosoma","Spirosoma sp. KCTC 42546"
"Formosa","Formosa sp. Hel3_A1_48"
"Myroides","Myroides odoratimimus"
"Cyclobacteriaceae","Echinicola"
"Fibrella","Fibrella sp. ES10-3-2-2"
"Lutibacter","Lutibacter profundi"
"Flavobacteriaceae","Myroides"
"Flavobacteriaceae","Altibacter"
"Chryseobacterium","Chryseobacterium sp. IHB B 17019"
"Spirosoma","Spirosoma sp. PL0136"
"Epilithonimonas","Chryseobacterium lactis"
"Nonlabens","Nonlabens ponticola"
"Arachidicoccus","Arachidicoccus soli"
"Polaribacter","Polaribacter sp. L12M9"
"Flavobacteriaceae","Marinirhabdus"
"Owenweeksia","Owenweeksia hongkongensis"
"Flavobacteriaceae","Tamlana"
"Flavobacteriaceae","Lutibacter"
"Psychroflexus","Psychroflexus torquis"
"Capnocytophaga","Capnocytophaga sp. oral taxon 878"
"Tannerellaceae","Parabacteroides"
"Cyclobacteriaceae","Algoriphagus"
"Belliella","Belliella baltica"
"Echinicola","Echinicola strongylocentroti"
"Hymenobacter","Hymenobacter sp. PAMC 26554"
"Tenacibaculum","Tenacibaculum dicentrarchi"
"Flavobacterium","Flavobacterium sp. KBS0721"
"Fulvivirgaceae","Chryseolinea"
"Blattabacterium","Blattabacterium sp. DPU"
"Flavobacteriaceae","Winogradskyella"
"Muribaculum","Muribaculum gordoncarteri"
"Elizabethkingia","Elizabethkingia anophelis"
"Chryseobacterium","Chryseobacterium sp. JV274"
"Cytophagales","Hymenobacteraceae"
"Weeksella","Weeksella virosa"
"Parabacteroides","Parabacteroides sp. CT06"
"Capnocytophaga","Capnocytophaga sp. oral taxon 902"
"Pseudopedobacter","Pseudopedobacter saltans"
