name	cellulose
[Ruminococcus] torques L2-14	cellulose degrader
Acetobacter pasteurianus IFO 3283-01	no cellulose degrader
Acetomicrobium mobile DSM 13181	no cellulose degrader
Acidimicrobium ferrooxidans DSM 10331	no cellulose degrader
Acidithiobacillus ferrooxidans ATCC 23270	no cellulose degrader
Acidovorax ebreus TPSY	no cellulose degrader
Actinomycetospora chiangmaiensis DSM 45062	no cellulose degrader
Actinoplanes missouriensis 431	no cellulose degrader
Actinospica robiniae DSM 44927	cellulose degrader
Actinosynnema mirum DSM 43827	cellulose degrader
Aequorivita sublithincola DSM 14238	no cellulose degrader
Agrobacterium fabrum str. C58	no cellulose degrader
Alcanivorax borkumensis SK2	no cellulose degrader
Algibacter lectus	no cellulose degrader
Alkaliflexus imshenetskii DSM 15055	no cellulose degrader
Alkalilimnicola ehrlichii MLHE-1	no cellulose degrader
Alkaliphilus metalliredigens QYMF	no cellulose degrader
Allokutzneria albata	no cellulose degrader
Alteromonas macleodii ATCC 27126	no cellulose degrader
Anaerobranca gottschalkii DSM 13577	cellulose degrader
Anaerophaga thermohalophila DSM 12881	no cellulose degrader
Anaerostipes hadrus	cellulose degrader
Anaerotruncus colihominis DSM 17241	no cellulose degrader
Archaeoglobus fulgidus DSM 4304	no cellulose degrader
Arcticibacter svalbardensis MN12-7	cellulose degrader
Azoarcus sp. BH72	no cellulose degrader
Azorhizobium caulinodans ORS 571	cellulose degrader
Azospirillum baldaniorum	cellulose degrader
Azospirillum humicireducens	no cellulose degrader
Azotobacter vinelandii DJ	no cellulose degrader
Bacillus amyloliquefaciens	no cellulose degrader
Bacillus amyloliquefaciens DSM 7 = ATCC 23350	no cellulose degrader
Bacillus cellulosilyticus DSM 2522	no cellulose degrader
Bacteroides cellulosilyticus DSM 14838	cellulose degrader
Bacteroides cellulosilyticus WH2	no cellulose degrader
Bacteroides xylanisolvens XB1A	no cellulose degrader
Beijerinckia indica subsp. indica ATCC 9039	no cellulose degrader
Belliella baltica DSM 15883	no cellulose degrader
Belnapia rosea	no cellulose degrader
Blautia obeum A2-162	cellulose degrader
Brachybacterium faecium DSM 4810	no cellulose degrader
Brachybacterium zhongshanense JCM 15471	cellulose degrader
Brochothrix thermosphacta DSM 20171 = FSL F6-1036	no cellulose degrader
Bryocella elongata	no cellulose degrader
Butyrivibrio fibrisolvens AB2020	cellulose degrader
Butyrivibrio fibrisolvens FE2007	cellulose degrader
Butyrivibrio fibrisolvens MD2001	cellulose degrader
Butyrivibrio fibrisolvens ND3005	cellulose degrader
Butyrivibrio fibrisolvens WTE3004	cellulose degrader
Butyrivibrio fibrisolvens YRB2005	cellulose degrader
Butyrivibrio proteoclasticus B316	no cellulose degrader
Byssovorax cruenta JCM 12614	cellulose degrader
Caldicellulosiruptor bescii DSM 6725	cellulose degrader
Caldicellulosiruptor hydrothermalis 108	cellulose degrader
Caldicellulosiruptor kristjanssonii I77R1B	cellulose degrader
Caldicellulosiruptor kronotskyensis 2002	cellulose degrader
Caldicellulosiruptor lactoaceticus 6A	cellulose degrader
Caldicellulosiruptor owensensis OL	cellulose degrader
Candidatus Amoebophilus asiaticus 5a2	no cellulose degrader
Catenulispora acidiphila DSM 44928	cellulose degrader
Cellulomonas flavigena DSM 20109	cellulose degrader
Cellulomonas gilvus ATCC 13127	cellulose degrader
Cellulomonas persica JCM 18111	cellulose degrader
Cellulophaga algicola DSM 14237	no cellulose degrader
Cellulophaga baltica 18	no cellulose degrader
Cellulophaga baltica NN016038	no cellulose degrader
Cellulophaga lytica	no cellulose degrader
Cellulophaga lytica DSM 7489	no cellulose degrader
Chitinophaga pinensis DSM 2588	no cellulose degrader
Chloroflexus aurantiacus J-10-fl	no cellulose degrader
Chromobacterium violaceum ATCC 12472	no cellulose degrader
Chthoniobacter flavus Ellin428	cellulose degrader
Chthonomonas calidirosea T49	no cellulose degrader
Clostridium carboxidivorans P7	cellulose degrader
Clostridium cellulovorans 743B	cellulose degrader
Clostridium drakei	cellulose degrader
Clostridium leptum CAG:27	no cellulose degrader
Cochleicola gelatinilyticus	no cellulose degrader
Comamonas testosteroni KF-1	no cellulose degrader
Congregibacter litoralis KT71	no cellulose degrader
Corynebacterium halotolerans YIM 70093 = DSM 44683	no cellulose degrader
Corynebacterium terpenotabidum Y-11	no cellulose degrader
Croceibacter atlanticus HTCC2559	no cellulose degrader
Crocosphaera subtropica ATCC 51142	no cellulose degrader
Cyclobacterium amurskyense	no cellulose degrader
Cyclobacterium marinum DSM 745	no cellulose degrader
Cytophaga aurantiaca DSM 3654	cellulose degrader
Dehalococcoides mccartyi 195	no cellulose degrader
Deinococcus marmoris DSM 12784	no cellulose degrader
Desulfatibacillum alkenivorans AK-01	no cellulose degrader
Desulfitobacterium hafniense DCB-2	no cellulose degrader
Desulfohalobium retbaense DSM 5692	no cellulose degrader
Desulfomicrobium baculatum DSM 4028	no cellulose degrader
Desulfotalea psychrophila LSv54	no cellulose degrader
Desulfotomaculum reducens MI-1	no cellulose degrader
Desulfurococcus amylolyticus 1221n	no cellulose degrader
Desulfurococcus amylolyticus Z-533	cellulose degrader
Dickeya dadantii 3937	cellulose degrader
Dictyoglomus thermophilum H-6-12	no cellulose degrader
Dyadobacter crusticola DSM 16708	no cellulose degrader
Dyadobacter fermentans DSM 18053	no cellulose degrader
Echinicola pacifica DSM 19836	no cellulose degrader
Echinicola vietnamensis DSM 17526	no cellulose degrader
Erysipelothrix rhusiopathiae	no cellulose degrader
Eubacterium siraeum CAG:80	no cellulose degrader
Exiguobacterium antarcticum B7	no cellulose degrader
Exiguobacterium antarcticum DSM 14480	no cellulose degrader
Fervidicoccus fontis Kam940	no cellulose degrader
Fervidobacterium nodosum Rt17-B1	cellulose degrader
Fervidobacterium pennivorans DSM 9078	no cellulose degrader
Flavobacterium akiainvivens	no cellulose degrader
Flavobacterium aquatile LMG 4008 = ATCC 11947	no cellulose degrader
Flavobacterium branchiophilum	no cellulose degrader
Flavobacterium branchiophilum FL-15	no cellulose degrader
Flavobacterium columnare	no cellulose degrader
Flavobacterium columnare ATCC 49512	no cellulose degrader
Flavobacterium flevense	no cellulose degrader
Flavobacterium hydatis	no cellulose degrader
Flavobacterium johnsoniae	no cellulose degrader
Flavobacterium johnsoniae UW101	no cellulose degrader
Flavobacterium pectinovorum	no cellulose degrader
Flavobacterium psychrophilum	no cellulose degrader
Flavobacterium psychrophilum FPG101	no cellulose degrader
Flavobacterium psychrophilum FPG3	no cellulose degrader
Flavobacterium psychrophilum JIP02/86	no cellulose degrader
Flavobacterium rivuli WB 3.3-2 = DSM 21788	no cellulose degrader
Flavobacterium saccharophilum	no cellulose degrader
Flavobacterium succinicans	no cellulose degrader
Flavobacterium succinicans LMG 10402	no cellulose degrader
Flavobacterium terrigena	no cellulose degrader
Flavobacterium xinjiangense	no cellulose degrader
Flexibacter flexilis DSM 6793	no cellulose degrader
Flexithrix dorotheae DSM 6795	no cellulose degrader
Fodinicurvata fenggangensis DSM 21160	no cellulose degrader
Formosa agariphila KMM 3901	no cellulose degrader
Formosa sp. Hel1_33_131	no cellulose degrader
Formosa sp. Hel3_A1_48	cellulose degrader
Frankia alni ACN14a	no cellulose degrader
Gelidibacter mesophilus DSM 14095	no cellulose degrader
Geobacter bemidjiensis Bem	no cellulose degrader
Gordonia bronchialis DSM 43247	no cellulose degrader
Gramella echinicola DSM 19838	no cellulose degrader
Gramella forsetii KT0803	no cellulose degrader
Gramella portivictoriae DSM 23547	no cellulose degrader
Granulicella mallensis MP5ACTX8	no cellulose degrader
Granulicella pectinivorans	no cellulose degrader
Granulicella rosea	no cellulose degrader
Granulicella tundricola	no cellulose degrader
Granulicella tundricola MP5ACTX9	no cellulose degrader
Gynuella sunshinyii YC6258	cellulose degrader
Herbinix luporum	cellulose degrader
Hirschia baltica ATCC 49814	no cellulose degrader
Hungateiclostridium clariflavum DSM 19732	cellulose degrader
Hydrogenovibrio crunogenus XCL-2	no cellulose degrader
Hyperthermus butylicus DSM 5456	no cellulose degrader
Isoptericola variabilis J5	cellulose degrader
Jonesia denitrificans DSM 20603	cellulose degrader
Klebsiella pneumoniae 342	no cellulose degrader
Kordia algicida OT-1	no cellulose degrader
Ktedonobacter racemifer DSM 44963	no cellulose degrader
Lacinutrix sp. 5H-3-7-4	cellulose degrader
Lactobacillus acidophilus NCFM	no cellulose degrader
Lactobacillus salivarius UCC118	no cellulose degrader
Leadbetterella byssophila DSM 17132	no cellulose degrader
Leuconostoc lactis KCTC 3773	no cellulose degrader
Lewinella cohaerens DSM 23179	no cellulose degrader
Listeria grayi DSM 20601	no cellulose degrader
Listeria ivanovii subsp. ivanovii PAM 55	no cellulose degrader
Listeria monocytogenes EGD-e	no cellulose degrader
Listeria monocytogenes str. Scott A	no cellulose degrader
Lysobacter antibioticus	no cellulose degrader
Lysobacter enzymogenes	no cellulose degrader
Lysobacter gummosus	no cellulose degrader
Magnetococcus marinus MC-1	no cellulose degrader
Marinobacter hydrocarbonoclasticus VT8	no cellulose degrader
Melioribacter roseus P3M-2	cellulose degrader
Mesonia algae	no cellulose degrader
Mesonia mobilis DSM 19841	no cellulose degrader
Mesorhizobium japonicum MAFF 303099	no cellulose degrader
Metallosphaera sedula DSM 5348	no cellulose degrader
Methanocaldococcus fervens AG86	no cellulose degrader
Methanococcoides burtonii DSM 6242	no cellulose degrader
Methanocorpusculum labreanum Z	no cellulose degrader
Methanoculleus marisnigri JR1	no cellulose degrader
Methanopyrus kandleri AV19	no cellulose degrader
Methanosarcina acetivorans C2A	no cellulose degrader
Methanosphaera stadtmanae DSM 3091	no cellulose degrader
Methylibium petroleiphilum PM1	no cellulose degrader
Methylocella silvestris BL2	no cellulose degrader
Mucilaginibacter paludis DSM 18603	no cellulose degrader
Muricauda ruestringensis DSM 13258	no cellulose degrader
Nautilia profundicola AmH	no cellulose degrader
Nitrobacter hamburgensis X14	no cellulose degrader
Nitrosococcus oceani ATCC 19707	no cellulose degrader
Nitrosomonas europaea ATCC 19718	no cellulose degrader
Nitrosopumilus maritimus SCM1	no cellulose degrader
Nitrosospira multiformis ATCC 25196	no cellulose degrader
Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111	cellulose degrader
Nostoc punctiforme PCC 73102	no cellulose degrader
Ornatilinea apprima	cellulose degrader
Owenweeksia hongkongensis DSM 17368	no cellulose degrader
Paenarthrobacter aurescens TC1	no cellulose degrader
Paenibacillus amylolyticus	cellulose degrader
Paenibacillus panacisoli DSM 21345	no cellulose degrader
Paenibacillus polymyxa	cellulose degrader
Paenibacillus polymyxa ATCC 842	cellulose degrader
Paenibacillus xylanexedens	cellulose degrader
Paludibacter propionicigenes WB4	no cellulose degrader
Pannonibacter phragmitetus	no cellulose degrader
Paracoccus denitrificans PD1222	no cellulose degrader
Parvibaculum lavamentivorans DS-1	no cellulose degrader
Pelagerythrobacter marensis	no cellulose degrader
Pelotomaculum thermopropionicum SI	no cellulose degrader
Persephonella marina EX-H1	no cellulose degrader
Planococcus antarcticus DSM 14505	no cellulose degrader
Polaribacter reichenbachii	no cellulose degrader
Polaribacter sp. Hel1_33_78	cellulose degrader
Polaribacter vadi	no cellulose degrader
Polaromonas naphthalenivorans CJ2	no cellulose degrader
Prevotella ruminicola 23	no cellulose degrader
Pseudomonas mendocina ymp	no cellulose degrader
Pseudothermotoga lettingae TMO	no cellulose degrader
Psychrobacter aquaticus CMS 56	no cellulose degrader
Pyrobaculum aerophilum str. IM2	no cellulose degrader
Pyrococcus abyssi GE5	no cellulose degrader
Pyrococcus horikoshii OT3	cellulose degrader
Rhizobium etli CFN 42	no cellulose degrader
Rhodobacter sphaeroides KD131	no cellulose degrader
Rhodococcus jostii RHA1	no cellulose degrader
Rhodococcus opacus PD630	no cellulose degrader
Rhodoferax ferrireducens T118	no cellulose degrader
Rhodospirillum rubrum ATCC 11170	no cellulose degrader
Robiginitalea biformata HTCC2501	no cellulose degrader
Rubrobacter radiotolerans	no cellulose degrader
Rubrobacter radiotolerans DSM 5868	no cellulose degrader
Rubrobacter xylanophilus DSM 9941	no cellulose degrader
Ruminococcus bicirculans	no cellulose degrader
Ruminococcus champanellensis 18P13 = JCM 17042	cellulose degrader
Ruminococcus flavefaciens 17	cellulose degrader
Ruminococcus sp. SR1/5	cellulose degrader
Runella zeae DSM 19591	no cellulose degrader
Saccharibacillus sacchari DSM 19268	cellulose degrader
Saccharicrinis fermentans DSM 9555 = JCM 21142	no cellulose degrader
Sagittula stellata E-37	cellulose degrader
Salibacterium halotolerans	no cellulose degrader
Salinispora tropica CNB-440	no cellulose degrader
Sanguibacter keddieii DSM 10542	no cellulose degrader
Simiduia agarivorans SA1 = DSM 21679	cellulose degrader
Singulisphaera acidiphila DSM 18658	no cellulose degrader
Sinorhizobium medicae WSM419	no cellulose degrader
Skermanella aerolata KACC 11604	cellulose degrader
Skermanella xinjiangensis	no cellulose degrader
Solitalea canadensis DSM 3403	no cellulose degrader
Sorangium cellulosum So ce56	cellulose degrader
Sphaerobacter thermophilus DSM 20745	no cellulose degrader
Sporocytophaga myxococcoides DSM 11118	cellulose degrader
Stackebrandtia nassauensis DSM 44728	cellulose degrader
Staphylothermus hellenicus DSM 12710	no cellulose degrader
Streptococcus thermophilus LMD-9	no cellulose degrader
Streptomyces himastatinicus ATCC 53653	no cellulose degrader
Streptomyces reticuli	cellulose degrader
Streptomyces sp. ACT-1	cellulose degrader
Streptosporangium roseum DSM 43021	no cellulose degrader
Sulfolobus acidocaldarius DSM 639	no cellulose degrader
Sulfurimonas denitrificans DSM 1251	no cellulose degrader
Sulfurospirillum deleyianum DSM 6946	no cellulose degrader
Synechococcus elongatus PCC 7942 = FACHB-805	no cellulose degrader
Synechococcus sp. CC9605	no cellulose degrader
Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	no cellulose degrader
Syntrophus aciditrophicus SB	no cellulose degrader
Tenacibaculum maritimum NCIMB 2154	no cellulose degrader
Tenacibaculum ovolyticum DSM 18103	no cellulose degrader
Teredinibacter turnerae 1133Y.S.0a.04	cellulose degrader
Teredinibacter turnerae T0609	cellulose degrader
Teredinibacter turnerae T7901	cellulose degrader
Teredinibacter turnerae T7902	cellulose degrader
Teredinibacter turnerae T8402	cellulose degrader
Teredinibacter turnerae T8412	cellulose degrader
Teredinibacter turnerae T8415	cellulose degrader
Teredinibacter turnerae T8513	cellulose degrader
Teredinibacter turnerae T8602	cellulose degrader
Terriglobus roseus	no cellulose degrader
Terriglobus roseus DSM 18391	no cellulose degrader
Terriglobus saanensis SP1PR4	no cellulose degrader
Thermaerobacter marianensis DSM 12885	cellulose degrader
Thermoanaerobacterium xylanolyticum LX-11	no cellulose degrader
Thermobispora bispora DSM 43833	no cellulose degrader
Thermococcus sp. 2319x1	cellulose degrader
Thermoflexus hugenholtzii JAD2	no cellulose degrader
Thermogemmatispora carboxidivorans	cellulose degrader
Thermogemmatispora onikobensis	cellulose degrader
Thermomonospora curvata DSM 43183	no cellulose degrader
Thermosphaera aggregans DSM 11486	no cellulose degrader
Thermotoga petrophila RKU-1	cellulose degrader
Thermovirga lienii DSM 17291	no cellulose degrader
Thioalkalivibrio sulfidiphilus HL-EbGr7	no cellulose degrader
Thiobacillus denitrificans ATCC 25259	no cellulose degrader
Treponema caldarium DSM 7334	no cellulose degrader
Ulvibacter litoralis	no cellulose degrader
Victivallis vadensis ATCC BAA-548	no cellulose degrader
Woeseia oceani	no cellulose degrader
Xylanimonas cellulosilytica DSM 15894	cellulose degrader
Zavarzinella formosa DSM 19928	no cellulose degrader
Zobellia galactanivorans	no cellulose degrader
Zobellia uliginosa	no cellulose degrader
Zunongwangia profunda SM-A87	no cellulose degrader
Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	no cellulose degrader
Pseudonocardia dioxanivorans CB1190	cellulose degrader
Psychromicrobium lacuslunae IHBB 11108	no cellulose degrader
Rhodococcus coprophilus NCTC10994	cellulose degrader
Ruminiclostridium cellulolyticum H10	cellulose degrader
Saccharophagus degradans 2-40	cellulose degrader
Saccharopolyspora erythraea NRRL 2338	cellulose degrader
Nonomuraea gerenzanensis ATCC 39727	no cellulose degrader
Nocardiopsis dassonvillei NCTC10488	cellulose degrader
Lysobacter gummosus 3.2.11	no cellulose degrader